q0413  33:28.1-33:31.0  По-твоему, из нее можно извлечь видео?
q0414  33:32.0-33:33.2  Вот черт.
q0415  33:39.1-33:40.5  Думаешь, это сделал Конг?
q0416  33:41.2-33:43.9  Нет, не Конг. Это что-то другое.
q0417  33:45.0-33:49.2  Да. Давайте удалимся, пока это другое не вернулось.
q0418  33:49.3-33:50.9  Поторопитесь. Надо сваливать.
q0419  35:27.6-35:33.3  ПОДЗЕМНОЕ ЦАРСТВО НЕИЗВЕСТНАЯ МЕСТНОСТЬ
q0420  38:57.4-38:58.6  Что-то из нее извлекла?
q0421  38:59.1-39:00.2  Да, я просто...
q0422  39:03.0-39:04.0  Боже мой.
q0423  39:04.4-39:05.2  Что?
q0424  39:06.6-39:08.6  Вот. Посмотри.
q0425  39:09.0-39:11.4  Похоже на обезьяну. Но это невозможно.
q0426  39:11.5-39:13.2  Черт дери, что это?
q0427  39:14.0-39:15.6  Понятия не имею.
q0428  39:17.8-39:18.7  Нет!
q0429  39:19.6-39:21.0  Микаэл!
